port,protocolo,estado,flags
494,tcp,cerrado,
494,udp,filtrado,
495,tcp,filtrado,
495,udp,filtrado,
496,tcp,filtrado,
496,udp,filtrado,
497,tcp,filtrado,
497,udp,filtrado,
498,tcp,cerrado,
498,udp,abierto|filtrado,
499,tcp,cerrado,
499,udp,abierto|filtrado,
500,tcp,cerrado,
500,udp,filtrado,
501,tcp,filtrado,
501,udp,filtrado,
502,tcp,filtrado,
502,udp,filtrado,
503,tcp,cerrado,
503,udp,abierto|filtrado,
504,tcp,cerrado,
504,udp,abierto|filtrado,
505,tcp,cerrado,
505,udp,filtrado,
506,tcp,filtrado,
506,udp,filtrado,
507,tcp,filtrado,
507,udp,filtrado,
508,tcp,cerrado,
508,udp,abierto|filtrado,
509,tcp,cerrado,
509,udp,abierto|filtrado,
510,tcp,cerrado,
510,udp,abierto|filtrado,
511,tcp,cerrado,
511,udp,filtrado,
512,tcp,filtrado,
512,udp,filtrado,
513,tcp,filtrado,
513,udp,filtrado,
514,tcp,cerrado,
514,udp,abierto|filtrado,
515,tcp,cerrado,
515,udp,abierto|filtrado,
516,tcp,cerrado,
516,udp,filtrado,
517,tcp,filtrado,
517,udp,filtrado,
518,tcp,filtrado,
518,udp,filtrado,
519,tcp,cerrado,
519,udp,abierto|filtrado,
520,tcp,cerrado,
520,udp,abierto|filtrado,
521,tcp,cerrado,
521,udp,abierto|filtrado,
522,tcp,cerrado,
522,udp,filtrado,
523,tcp,filtrado,
523,udp,filtrado,
524,tcp,cerrado,
524,udp,abierto|filtrado,
525,tcp,cerrado,
525,udp,abierto|filtrado,
526,tcp,cerrado,
526,udp,filtrado,
527,tcp,filtrado,
527,udp,filtrado,
528,tcp,filtrado,
528,udp,filtrado,
529,tcp,filtrado,
529,udp,filtrado,
530,tcp,cerrado,
530,udp,abierto|filtrado,
531,tcp,cerrado,
531,udp,abierto|filtrado,
532,tcp,cerrado,
532,udp,filtrado,
533,tcp,filtrado,
533,udp,filtrado,
534,tcp,filtrado,
534,udp,filtrado,
535,tcp,cerrado,
535,udp,abierto|filtrado,
536,tcp,cerrado,
536,udp,abierto|filtrado,
537,tcp,cerrado,
537,udp,filtrado,
538,tcp,filtrado,
538,udp,filtrado,
539,tcp,filtrado,
539,udp,filtrado,
540,tcp,filtrado,
540,udp,abierto|filtrado,
541,tcp,cerrado,
541,udp,filtrado,
542,tcp,cerrado,
542,udp,abierto|filtrado,
543,tcp,cerrado,
543,udp,filtrado,
544,tcp,filtrado,
544,udp,filtrado,
545,tcp,filtrado,
545,udp,filtrado,
546,tcp,cerrado,
546,udp,abierto|filtrado,
547,tcp,cerrado,
547,udp,abierto|filtrado,
548,tcp,cerrado,
548,udp,filtrado,
549,tcp,filtrado,
549,udp,filtrado,
550,tcp,filtrado,
550,udp,filtrado,
551,tcp,filtrado,
551,udp,filtrado,
552,tcp,cerrado,
552,udp,abierto|filtrado,
553,tcp,cerrado,
553,udp,abierto|filtrado,
554,tcp,cerrado,
554,udp,filtrado,
555,tcp,filtrado,
555,udp,filtrado,
556,tcp,filtrado,
556,udp,filtrado,
557,tcp,cerrado,
557,udp,abierto|filtrado,
558,tcp,cerrado,
558,udp,abierto|filtrado,
559,tcp,cerrado,
559,udp,filtrado,
560,tcp,filtrado,
560,udp,filtrado,
561,tcp,filtrado,
561,udp,filtrado,
562,tcp,cerrado,
562,udp,abierto|filtrado,
563,tcp,cerrado,
563,udp,abierto|filtrado,
564,tcp,cerrado,
564,udp,abierto|filtrado,
565,tcp,cerrado,
565,udp,filtrado,
566,tcp,filtrado,
